business_id,business_name,business_address,business_postal_code,inspection_date,inspection_score,inspection_type,violation_description,risk_category,current_supervisor_districts
3649,SAFEWAY #1490,2300 16th St,94103,2017-12-06,82.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,9.0
2929,Academy of Arts University,1055 Pine St,94109,2018-06-04,98.0,Routine - Unscheduled,Unclean nonfood contact surfaces,Low Risk,3.0
3025,PEKING RESTAURANT,1375 NORIEGA St,94122,2018-03-14,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,7.0
2334,LA PAZ RESTAURANT,1028 POTRERO Ave,94110,2017-11-28,88.0,Routine - Unscheduled,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,2.0
37350,Press Club,20 Yerba Buena Ln,94103,2019-04-12,94.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,10.0
99,J & M A-1 CAFE RESTAURANT LLC,779 Clay St,94108,2018-08-08,84.0,Routine - Unscheduled,No thermometers or uncalibrated thermometers,Low Risk,3.0
19076,Star India Restaurant,3721 GEARY Blvd,94118,2018-10-22,85.0,Routine - Unscheduled,Unclean or unsanitary food contact surfaces,High Risk,4.0
247,Toy Boat Dessert Cafe,401 Clement St,94118,2016-11-14,86.0,Routine - Unscheduled,Moderate risk vermin infestation,Moderate Risk,4.0
184,RADIO HABANA,1109 VALENCIA St,94110,2018-02-13,90.0,Routine - Unscheduled,Insufficient hot water or running water,Moderate Risk,2.0
3594,CELIAS RESTAURANT,4019 JUDAH St,94122,2018-06-21,90.0,Routine - Unscheduled,Improper food storage,Low Risk,7.0
19094,Rigolo,3465 California St,94118,2018-02-22,90.0,Routine - Unscheduled,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,6.0
1154,SUNFLOWER RESTAURANT,506 Valencia St,94103,2019-03-27,46.0,Routine - Unscheduled,Inadequate and inaccessible handwashing facilities,Moderate Risk,5.0
1636,AXUM,698 Haight St,94117,2018-10-03,88.0,Routine - Unscheduled,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,11.0
36758,UVA Enoteca,568 Haight St,94117,2018-10-03,89.0,Routine - Unscheduled,Moderate risk food holding temperature,Moderate Risk,11.0
2926,Luques Restaurant & Bar,433 Powell St,94102,2017-03-16,82.0,Routine - Unscheduled,Improper food storage,Low Risk,3.0
2131,DRAGON WELL,2142 CHESTNUT St,94123,2017-12-14,92.0,Routine - Unscheduled,Improper food storage,Low Risk,6.0
14740,Eggette Cafe,3136 Noriega St,94122,2019-09-20,98.0,Routine - Unscheduled,Unclean or degraded floors walls or ceilings,Low Risk,7.0
